Date,AAPL,INFY.NS,MSFT,RELIANCE.NS,TCS.NS
2022-01-03,177.93975830078125,1704.2493896484375,323.1607666015625,1093.7806396484375,3386.357666015625
2022-01-04,175.681396484375,1704.8780517578125,317.6195068359375,1118.465087890625,3445.787109375
2022-01-05,171.0082550048828,1655.952880859375,305.4267883300781,1123.6976318359375,3424.676025390625
2022-01-06,168.15357971191406,1631.849609375,303.0133361816406,1099.5364990234375,3377.22119140625
2022-01-07,168.3197784423828,1628.7076416015625,303.1678161621094,1108.4091796875,3418.067626953125
2022-01-10,168.33935546875,1661.4290771484375,303.3897399902344,1109.3193359375,3441.44140625
2022-01-11,171.16470336914062,1665.78271484375,304.0752258300781,1117.3048095703125,3473.417236328125
2022-01-12,171.6046600341797,1685.397705078125,307.25128173828125,1147.130859375,3423.744873046875
2022-01-13,168.33935546875,1702.7681884765625,294.2476501464844,1153.592041015625,3457.450927734375
2022-01-14,169.1996307373047,1731.988525390625,299.4607238769531,1155.2755126953125,3519.762939453125
2022-01-17,,1741.100341796875,,1161.304443359375,3565.000244140625
2022-01-18,166.00279235839844,1724.2684326171875,292.17205810546875,1147.44921875,3539.676513671875
2022-01-19,162.5126190185547,1676.0616455078125,292.8285217285156,1147.3582763671875,3478.40966796875
2022-01-20,160.8310546875,1637.14599609375,291.1584777832031,1127.26953125,3400.126953125
2022-01-21,158.77806091308594,1603.033203125,285.7812805175781,1127.4515380859375,3406.30322265625
2022-01-24,158.0056915283203,1559.1353759765625,286.1094970703125,1081.9730224609375,3351.078857421875
2022-01-25,156.20684814453125,1545.9840087890625,278.5023498535156,1079.8572998046875,3349.79052734375
2022-01-26,156.11886596679688,,286.4377136230469,,
2022-01-27,155.65936279296875,1506.8887939453125,289.4593505859375,1063.863525390625,3242.585205078125
2022-01-28,166.52090454101562,1513.7113037109375,297.587890625,1062.8397216796875,3278.83837890625
2022-01-31,170.8714141845703,1558.5965576171875,300.2137756347656,1085.9317626953125,3319.890625
2022-02-01,170.70523071289062,1590.7796630859375,298.0705871582031,1082.337158203125,3377.113525390625
2022-02-02,171.90771484375,1604.2900390625,302.60784912109375,1084.5438232421875,3426.473388671875
2022-02-03,169.033447265625,1560.706298828125,290.820556640625,1070.529541015625,3398.394775390625
2022-02-04,168.7495880126953,1562.995361328125,295.3481750488281,1060.76953125,3389.775390625
2022-02-07,168.03500366210938,1539.5653076171875,290.5309753417969,1054.3084716796875,3357.87646484375
2022-02-08,171.13803100585938,1541.6302490234375,294.0160217285156,1072.031005859375,3326.287841796875
2022-02-09,172.5574188232422,1559.5841064453125,300.435791015625,1084.5211181640625,3341.48193359375
